Timer recorded 
169kb 5428 5 seconds

4.8gb 157163 157 seconds

125497040,190659 190 seconds/// the entire trainfle but is not 150 mil
total transactions, time(in miliseconds)
20000,323
40000,111
80000,123
160000,249
320000,518
640000,1026
1280000,1935
2560000,3857
5120000,7595
10240000,14731
20480000,29609
40960000,60353
81920000,120522
125497040,186906

